구분,지번,지목,면적(㎡),면적(평)
1,용인시 처인구 주북리 821,전,3345,1011.86
2,용인시 처인구 주북리 822-2,전,3154,954.08
3,용인시 처인구 주북리 827-1,전,3967,1200.02
4,용인시 처인구 주북리 827-3,전,3382,1023.05
5,용인시 처인구 주북리 827-4,대,426,128.86
6,용인시 처인구 주북리 828-1,전,790,238.97
7,용인시 처인구 주북리 828-2,전,1530,462.82
8,용인시 처인구 주북리 828-3,전,4040,1222.10
9,용인시 처인구 주북리 829,전,3501,1059.05
10,용인시 처인구 주북리 830,전,2407,728.12
11,용인시 처인구 주북리 831,전,2698,816.14
12,용인시 처인구 주북리 832,전,5514,1667.98
13,용인시 처인구 주북리 833-1,전,2351,711.18
14,용인시 처인구 주북리 833-3,전,1217,368.14
15,용인시 처인구 주북리 833-4,전,3808,1151.92
16,용인시 처인구 주북리 834-2,도로,12,3.63
17,용인시 처인구 주북리 834-6,도로,10,3.02
18,용인시 처인구 주북리 834-7,전,8697,2630.84
19,용인시 처인구 주북리 834-4,전,186,56.26
20,용인시 처인구 주북리 833-2,전,1977,598.04
합계,,,53012,16036
